student_id,semester,course_code,course_name,subject_area,credits,instructor,grade_letter,numeric_grade,prior_gpa,study_hours,attendance_rate,gender,age,year_of_study,scholarship,extracurricular,internship,homework_avg,final_exam
888,2020Spring,CS216,Human-Computer Interaction,Software Engineering,3,Garcia,A-,91.46,3.14,15.8,96.7,M,23,Junior,0,0,0,88.77,87.34
4036,2021Spring,CS221,Elective 1,Algorithms,3,Anderson,C,73.38,3.23,17.5,71.3,M,18,Freshman,0,2,1,79.08,76.04
4110,2021Fall,CS226,Elective 6,Algorithms,4,Martin,B,83.42,3.3,24.1,69.4,M,18,Freshman,0,0,0,79.74,83.46
3717,2020Fall,CS211,Cybersecurity,Networks,4,Williams,A,95.66,3.58,29.7,67.0,Other,20,Sophomore,1,2,1,100.0,99.03
5359,2022Fall,CS230,Elective 10,Systems,4,Wilson,B,83.76,2.94,7.7,79.3,M,18,Freshman,0,1,1,91.47,72.89
5584,2023Fall,CS217,Compiler Design,Systems,3,Lee,C-,71.47,3.04,22.2,88.2,Other,23,Junior,0,1,0,70.02,74.91
1189,2020Fall,CS233,Elective 13,Theory,3,Miller,C,74.26,3.41,7.9,87.0,Other,18,Freshman,1,2,0,67.85,80.68
2462,2021Spring,CS225,Elective 5,Theory,3,Garcia,A-,90.92,3.2,10.6,94.1,F,20,Sophomore,0,0,1,92.0,97.34
135,2022Spring,CS220,Cryptography,Theory,3,Garcia,B,83.94,3.75,17.2,92.6,F,20,Sophomore,1,2,0,85.29,90.64
74,2020Spring,CS101,Intro to Programming,Programming,4,Williams,B,85.87,3.14,4.9,56.0,M,18,Freshman,0,0,0,83.49,81.81
1779,2023Fall,CS228,Elective 8,Systems,4,Martinez,B+,87.4,2.42,17.8,87.1,F,20,Sophomore,0,1,0,86.77,100.0
3327,2023Fall,CS227,Elective 7,AI,3,Anderson,C+,77.9,3.45,17.6,51.4,Other,24,Senior,0,5,0,86.39,86.39
5487,2023Fall,CS215,Computer Graphics,Programming,3,Miller,A,93.68,3.69,16.0,85.1,F,24,Senior,0,1,0,,85.13
2132,2022Fall,CS231,Elective 11,Programming,4,Taylor,B,83.25,2.19,,84.0,Other,22,Junior,0,1,0,88.38,81.8
3288,2020Fall,CS213,Data Mining,Data Science,4,Martin,B-,80.9,2.42,11.9,,F,20,Sophomore,0,1,0,,84.04
4439,2021Spring,CS216,Human-Computer Interaction,Software Engineering,3,Taylor,C-,72.32,3.21,21.1,75.9,M,21,Sophomore,0,1,0,69.42,69.51
2619,2023Spring,CS224,Elective 4,Networks,4,Williams,B+,87.01,3.54,24.4,100.0,F,19,Freshman,1,1,0,79.29,76.76
3522,2022Fall,CS201,Algorithms,Algorithms,3,Johnson,A,93.24,3.46,22.1,91.7,Other,22,Junior,1,2,0,100.0,95.0
4833,2021Spring,CS215,Computer Graphics,Programming,3,Lee,B-,80.38,2.99,5.6,82.3,Other,19,Freshman,0,1,0,,83.84
571,2020Spring,CS231,Elective 11,Programming,3,Martin,B,83.96,2.03,11.5,68.7,M,19,Freshman,0,5,0,91.85,89.98
3836,2021Spring,CS238,Elective 18,Data Science,3,Martin,B-,80.3,3.58,20.0,74.0,Other,18,Freshman,0,2,0,84.35,77.23
583,2023Spring,CS212,Cloud Computing,Systems,4,Williams,B+,89.83,3.31,23.6,92.4,M,23,Junior,0,1,0,89.64,93.9
4107,2021Fall,CS205,Database Systems,Databases,4,Miller,B+,87.02,3.9,22.4,100.0,Other,20,Sophomore,1,2,0,86.63,74.76
4878,2020Fall,CS231,Elective 11,Programming,4,Rodriguez,B+,88.54,3.95,18.7,67.5,F,20,Sophomore,1,1,0,,95.36
4318,2021Fall,CS206,Networks,Networks,3,Taylor,B-,80.68,3.09,9.1,93.8,M,19,Freshman,0,5,0,71.73,87.09
61,2021Fall,CS234,Elective 14,Systems,3,Miller,D,69.25,3.51,9.7,96.2,M,20,Sophomore,0,2,1,75.14,76.66
2041,2022Spring,CS207,Software Engineering,Software Engineering,4,Wilson,C-,71.86,3.28,19.7,,Other,18,Freshman,0,3,0,68.77,74.36
2681,2020Spring,CS225,Elective 5,Theory,4,Martinez,B-,81.8,3.03,5.1,64.1,M,18,Freshman,0,2,0,80.38,81.67
1734,2021Spring,CS209,Machine Learning,AI,3,Lopez,A-,92.86,3.64,8.0,93.6,M,18,Freshman,0,4,0,97.61,87.85
1459,2021Spring,CS203,Computer Organization,Systems,4,Martinez,C,76.84,2.68,15.0,100.0,M,19,Freshman,0,2,0,80.53,73.43
2974,2021Spring,CS235,Elective 15,Systems,3,Taylor,B-,81.01,2.6,9.7,98.9,M,23,Junior,0,0,0,87.59,84.17
143,2023Fall,CS223,Elective 3,Data Science,3,Taylor,C,73.21,2.98,10.2,55.6,F,21,Sophomore,0,1,0,78.59,74.87
2402,2023Spring,CS227,Elective 7,AI,3,Wilson,B,84.04,3.78,26.5,100.0,M,23,Junior,1,1,0,87.21,86.96
5126,2021Spring,CS214,Big Data,Data Science,3,Brown,B-,81.89,3.24,13.8,85.8,M,20,Sophomore,0,4,0,86.17,
4417,2021Fall,CS224,Elective 4,Networks,3,Anderson,B-,80.46,3.42,17.2,81.9,F,22,Junior,0,0,0,80.75,83.35
4795,2022Fall,CS238,Elective 18,Data Science,3,Brown,A-,91.87,2.97,5.6,79.0,M,18,Freshman,0,2,0,94.79,100.0
4150,2021Fall,CS237,Elective 17,Programming,4,Jones,A,93.44,3.16,11.5,68.7,M,18,Freshman,0,1,0,88.56,88.55
2957,2022Spring,CS215,Computer Graphics,Programming,3,Thomas,C,74.0,3.39,26.3,43.7,Other,18,Freshman,0,4,0,77.16,
4234,2021Spring,CS202,Discrete Math,Theory,3,Jackson,B-,80.27,2.85,7.0,99.4,M,18,Freshman,0,3,0,81.33,88.06
1061,2022Spring,CS221,Elective 1,Algorithms,3,Garcia,B-,81.56,4.0,13.4,87.6,M,18,Freshman,0,2,0,81.43,83.08
4825,2020Fall,CS215,Computer Graphics,Programming,3,Miller,A,95.4,3.25,17.0,92.1,Other,18,Freshman,0,1,0,100.0,97.04
5908,2023Fall,CS232,Elective 12,Systems,4,Smith,B-,82.11,3.26,20.6,,M,22,Junior,0,1,0,75.84,78.64
5114,2021Spring,CS232,Elective 12,Systems,4,Williams,C,76.93,3.57,2.9,78.0,M,22,Junior,0,3,0,77.12,70.52
430,2021Fall,CS222,Elective 2,AI,3,Rodriguez,B+,89.75,2.82,28.4,100.0,Other,20,Sophomore,0,0,0,91.77,86.42
2968,2021Spring,CS102,Data Structures,Programming,4,Rodriguez,C-,70.36,4.0,14.4,100.0,F,18,Freshman,1,1,1,67.47,67.67
1283,2021Fall,CS224,Elective 4,Networks,4,Rodriguez,C-,72.67,2.19,14.2,84.3,F,20,Sophomore,0,2,0,74.99,71.47
624,2021Fall,CS226,Elective 6,Algorithms,4,Brown,B,86.5,3.6,13.4,87.6,M,21,Sophomore,0,2,0,78.44,81.22
3288,2021Fall,CS237,Elective 17,Programming,4,Jones,A,96.96,2.75,10.5,88.8,F,20,Sophomore,0,1,0,90.03,90.42
3689,2021Fall,CS237,Elective 17,Programming,4,Johnson,B,86.58,3.41,15.2,88.7,M,24,Senior,0,4,0,81.84,80.97
5018,2022Spring,CS202,Discrete Math,Theory,3,Jones,B+,87.53,3.62,108.3,90.9,Other,22,Junior,0,2,1,90.92,82.39
1083,2023Fall,CS207,Software Engineering,Software Engineering,4,Hernandez,C+,79.04,2.72,33.1,96.5,M,18,Freshman,0,2,0,82.41,92.79
3765,2022Spring,CS222,Elective 2,AI,3,Hernandez,B,85.79,3.23,,71.1,F,22,Junior,0,3,0,79.78,91.59
2178,2023Fall,CS209,Machine Learning,AI,3,Jackson,C,74.29,3.04,5.5,75.4,Other,20,Sophomore,0,2,0,72.89,76.15
952,2021Spring,CS238,Elective 18,Data Science,3,Smith,A,94.53,2.95,17.7,60.8,Other,20,Sophomore,0,5,0,87.71,88.03
3015,2023Spring,CS210,AI,AI,3,Lopez,B-,81.76,2.8,20.6,100.0,Other,22,Junior,0,1,0,82.53,89.34
3005,2022Spring,CS227,Elective 7,AI,3,Brown,C-,71.28,3.01,3.4,98.6,F,19,Freshman,0,0,0,77.93,71.09
1959,2021Fall,CS208,Web Development,Programming,4,Garcia,B-,80.05,2.77,10.5,84.4,Other,20,Sophomore,0,1,0,81.36,84.32
3636,2020Fall,CS207,Software Engineering,Software Engineering,3,Rodriguez,A-,90.47,3.37,20.5,100.0,M,21,Sophomore,0,1,1,85.47,88.96
2341,2023Fall,CS202,Discrete Math,Theory,3,Thomas,B-,82.23,2.97,,96.1,M,18,Freshman,0,3,0,86.23,82.55
470,2021Fall,CS238,Elective 18,Data Science,4,Thomas,C-,71.05,3.9,,99.0,F,18,Freshman,0,0,0,71.83,73.69
1972,2020Spring,CS205,Database Systems,Databases,3,Williams,C,74.33,2.85,10.9,89.7,M,20,Sophomore,0,5,0,66.81,66.05
5282,2021Fall,CS216,Human-Computer Interaction,Software Engineering,3,Jones,B,84.41,3.21,11.5,62.6,F,21,Sophomore,0,2,1,76.68,79.75
2372,2023Spring,CS102,Data Structures,Programming,4,Davis,B+,87.28,2.67,8.2,97.6,Other,20,Sophomore,0,1,0,87.28,
860,2023Fall,CS213,Data Mining,Data Science,3,Lee,B-,81.37,2.31,10.8,100.0,F,20,Sophomore,0,0,0,80.22,69.62
3595,2022Spring,CS233,Elective 13,Theory,3,Garcia,C-,70.54,2.78,12.3,81.6,F,21,Sophomore,0,3,0,66.09,71.45
5368,2023Spring,CS203,Computer Organization,Systems,4,Taylor,B-,80.53,2.94,26.1,87.9,M,23,Junior,0,1,0,79.13,78.8
3470,2021Spring,CS224,Elective 4,Networks,3,Miller,C+,77.77,3.69,10.3,100.0,F,20,Sophomore,0,1,1,73.66,80.9
5987,2020Spring,CS222,Elective 2,AI,3,Martinez,C+,79.58,3.23,5.6,100.0,M,22,Junior,0,3,0,81.17,79.62
1454,2023Spring,CS219,Theory of Computation,Theory,4,Martinez,B-,80.41,3.14,8.8,83.1,Other,21,Sophomore,0,2,1,72.5,83.82
4033,2022Spring,CS215,Computer Graphics,Programming,3,Smith,A-,92.04,3.78,10.0,93.4,F,19,Freshman,1,4,1,89.7,
5683,2022Fall,CS219,Theory of Computation,Theory,3,Smith,B+,88.36,3.44,24.0,82.9,M,20,Sophomore,0,1,0,84.23,83.92
1010,2021Spring,CS215,Computer Graphics,Programming,4,Anderson,A,94.82,3.51,26.0,,F,18,Freshman,0,2,0,92.09,100.0
5274,2023Fall,CS226,Elective 6,Algorithms,4,Lee,B,86.22,3.47,19.7,100.0,M,22,Junior,1,3,0,91.63,
5957,2020Fall,CS215,Computer Graphics,Programming,3,Hernandez,B,83.83,3.71,24.3,73.2,M,21,Sophomore,1,0,1,93.99,81.38
5590,2020Fall,CS206,Networks,Networks,3,Anderson,B+,87.99,3.6,12.9,,F,23,Junior,0,1,0,79.45,86.43
1218,2022Spring,CS102,Data Structures,Programming,3,Moore,A-,92.22,3.43,19.6,64.3,Other,24,Senior,0,2,0,96.37,90.76
2764,2021Fall,CS203,Computer Organization,Systems,4,Rodriguez,B,85.46,2.57,21.6,81.5,M,19,Freshman,0,2,0,89.85,86.13
2921,2023Fall,CS236,Elective 16,Algorithms,3,Miller,A-,91.42,3.89,17.0,81.6,F,18,Freshman,1,1,0,88.42,91.82
260,2020Fall,CS231,Elective 11,Programming,3,Davis,C,75.0,3.07,24.4,64.7,Other,19,Freshman,0,2,0,74.09,70.59
1621,2020Fall,CS212,Cloud Computing,Systems,4,Anderson,B+,89.41,3.48,4.1,95.6,M,18,Freshman,0,7,0,95.97,98.66
1467,2021Fall,CS230,Elective 10,Systems,4,Rodriguez,C,73.21,3.09,21.2,89.6,F,18,Freshman,0,3,0,64.98,71.0
3417,2020Fall,CS223,Elective 3,Data Science,3,Martinez,C+,77.39,3.51,26.9,80.9,F,18,Freshman,0,1,0,71.29,76.76
536,2022Fall,CS215,Computer Graphics,Programming,4,Davis,B+,89.05,3.28,6.1,95.4,M,19,Freshman,0,0,0,84.18,90.38
4674,2023Spring,CS238,Elective 18,Data Science,3,Martin,B+,88.36,3.49,27.9,65.1,F,22,Junior,1,2,0,80.34,
5237,2021Fall,CS102,Data Structures,Programming,3,Smith,A,94.96,3.36,20.4,94.9,M,20,Sophomore,0,1,1,99.7,96.25
3674,2023Spring,CS205,Database Systems,Databases,3,Thomas,B+,87.68,3.79,7.3,95.8,Other,18,Freshman,1,2,0,93.95,
1057,2022Spring,CS202,Discrete Math,Theory,3,Williams,A,95.35,3.51,,97.8,F,21,Sophomore,0,3,0,100.0,82.63
2147,2020Spring,CS208,Web Development,Programming,4,Anderson,C-,71.44,3.32,18.5,95.9,F,21,Sophomore,0,2,0,68.77,68.79
5601,2023Fall,CS229,Elective 9,AI,3,Taylor,C+,78.22,3.56,,78.9,M,23,Junior,0,1,0,68.32,73.16
371,2023Spring,CS235,Elective 15,Systems,4,Davis,C-,72.81,3.66,17.9,59.0,Other,22,Junior,1,3,0,77.08,71.31
1775,2021Spring,CS203,Computer Organization,Systems,3,Moore,C+,78.48,3.69,20.0,95.4,F,18,Freshman,0,1,0,,87.84
1026,2020Fall,CS220,Cryptography,Theory,3,Taylor,B-,81.96,3.62,0.0,74.5,Other,19,Freshman,0,0,0,80.7,76.37
4894,2021Fall,CS226,Elective 6,Algorithms,4,Lopez,C,73.95,3.69,10.5,92.1,Other,20,Sophomore,0,3,0,71.86,73.78
4328,2023Fall,CS236,Elective 16,Algorithms,3,Garcia,C+,78.22,3.76,,69.0,Other,19,Freshman,0,1,0,76.31,
4666,2023Spring,CS211,Cybersecurity,Networks,3,Davis,C,73.85,3.36,19.9,90.8,F,21,Sophomore,0,2,0,83.66,74.28
3209,2022Spring,CS220,Cryptography,Theory,3,Davis,C,75.89,3.36,33.7,88.7,M,23,Junior,0,1,0,71.83,73.53
968,2020Fall,CS234,Elective 14,Systems,3,Smith,C,73.42,3.44,12.5,98.0,M,22,Junior,0,1,0,75.34,69.15
773,2022Spring,CS227,Elective 7,AI,3,Lopez,A-,90.15,3.64,25.8,,M,18,Freshman,0,4,0,91.4,91.32
2994,2021Spring,CS224,Elective 4,Networks,4,Jones,A,93.88,3.67,17.4,100.0,Other,18,Freshman,0,1,0,93.4,86.44
3250,2022Fall,CS210,AI,AI,4,Garcia,B+,89.61,3.78,0.0,96.5,Other,18,Freshman,1,2,0,95.59,87.28
2616,2022Fall,CS102,Data Structures,Programming,4,Williams,B+,88.52,3.35,18.1,87.5,M,22,Junior,0,0,0,87.86,97.73
2588,2021Fall,CS203,Computer Organization,Systems,4,Martin,B+,88.5,3.84,17.5,92.4,Other,23,Junior,0,3,0,82.67,88.97
4879,2023Spring,CS221,Elective 1,Algorithms,3,Smith,C+,79.65,3.37,25.2,72.2,Other,18,Freshman,0,4,1,77.8,69.25
4217,2020Fall,CS218,Parallel Computing,Systems,3,Johnson,C,76.56,3.7,18.5,91.9,M,20,Sophomore,0,0,1,75.64,80.03
4197,2020Spring,CS102,Data Structures,Programming,4,Williams,B,84.87,3.16,4.8,69.2,Other,18,Freshman,1,0,0,89.38,86.44
1665,2020Spring,CS222,Elective 2,AI,4,Anderson,B,85.47,2.88,1.8,100.0,M,19,Freshman,0,2,0,,81.5
4838,2021Fall,CS209,Machine Learning,AI,4,Taylor,B,85.83,3.9,3.8,69.7,Other,18,Freshman,0,1,0,86.73,81.7
5357,2021Fall,CS238,Elective 18,Data Science,3,Wilson,C+,77.65,2.92,11.7,88.8,F,18,Freshman,0,2,0,79.42,73.4
4707,2020Spring,CS227,Elective 7,AI,3,Hernandez,C+,79.34,2.05,8.4,85.1,F,19,Freshman,0,1,0,83.15,82.77
2215,2022Fall,CS222,Elective 2,AI,3,Garcia,B+,88.49,2.65,18.2,100.0,F,19,Freshman,0,2,0,84.55,81.38
2464,2023Fall,CS213,Data Mining,Data Science,3,Davis,C+,77.32,2.98,10.1,90.3,Other,20,Sophomore,0,0,0,84.65,84.78
1938,2020Spring,CS215,Computer Graphics,Programming,4,Anderson,C,74.54,3.04,22.1,100.0,F,20,Sophomore,0,2,0,75.83,77.2
952,2023Spring,CS236,Elective 16,Algorithms,4,Miller,A-,92.51,3.09,11.1,79.5,Other,20,Sophomore,0,5,0,99.25,94.34
5655,2021Fall,CS215,Computer Graphics,Programming,3,Wilson,A-,92.31,3.49,6.6,85.0,M,23,Junior,0,1,0,86.98,83.96
3990,2022Spring,CS231,Elective 11,Programming,3,Davis,B-,81.12,2.92,14.3,100.0,M,23,Junior,0,2,1,72.0,76.08
1104,2022Fall,CS208,Web Development,Programming,3,Miller,B,86.34,3.42,28.3,100.0,Other,23,Junior,1,3,0,,
2298,2023Fall,CS207,Software Engineering,Software Engineering,4,Moore,B,83.5,3.97,19.0,90.9,M,18,Freshman,0,0,0,83.8,74.94
2515,2021Fall,CS102,Data Structures,Programming,4,Hernandez,B,83.24,3.07,6.3,63.6,F,20,Sophomore,0,1,0,89.71,95.65
5713,2023Fall,CS214,Big Data,Data Science,3,Smith,B+,88.05,3.64,9.5,89.8,M,18,Freshman,0,3,0,91.89,100.0
4712,2021Spring,CS217,Compiler Design,Systems,4,Moore,C+,78.08,3.63,,100.0,F,22,Junior,0,2,1,85.36,80.48
2580,2021Fall,CS212,Cloud Computing,Systems,3,Davis,C,74.97,2.01,8.5,89.2,Other,22,Junior,0,2,0,68.42,81.63
4468,2020Fall,CS228,Elective 8,Systems,4,Williams,C,76.74,3.23,15.6,77.4,F,20,Sophomore,0,2,0,82.35,80.79
4735,2022Fall,CS222,Elective 2,AI,3,Davis,C,76.1,2.83,4.4,78.0,F,21,Sophomore,0,3,0,68.33,69.97
3125,2021Fall,CS222,Elective 2,AI,3,Garcia,D,67.17,3.2,0.0,100.0,F,23,Junior,0,0,0,66.07,51.82
4764,2023Spring,CS217,Compiler Design,Systems,3,Jones,B,86.22,2.85,16.8,72.6,M,18,Freshman,0,2,0,,74.72
5215,2022Spring,CS237,Elective 17,Programming,3,Smith,A,98.78,3.27,28.4,,F,23,Junior,0,0,0,100.0,87.17
4288,2022Fall,CS231,Elective 11,Programming,4,Hernandez,B+,88.85,2.86,,100.0,M,24,Senior,0,1,0,96.83,67.16
4210,2023Fall,CS204,Operating Systems,Systems,3,Taylor,C,76.06,4.0,22.0,65.6,M,21,Sophomore,1,1,0,76.63,71.62
3712,2020Fall,CS210,AI,AI,3,Moore,C,75.85,2.82,5.0,84.5,Other,20,Sophomore,0,3,0,72.21,75.68
4225,2023Spring,CS211,Cybersecurity,Networks,3,Martin,A,93.12,2.74,9.4,89.3,Other,19,Freshman,0,2,0,100.0,81.37
4597,2020Fall,CS212,Cloud Computing,Systems,3,Miller,C-,70.35,2.55,16.9,97.3,Other,22,Junior,0,2,0,69.45,50.48
284,2020Spring,CS229,Elective 9,AI,3,Martin,B,85.26,3.78,10.2,87.9,Other,24,Senior,0,2,0,85.01,77.1
3028,2022Spring,CS217,Compiler Design,Systems,4,Garcia,D,64.67,3.42,10.3,92.1,F,18,Freshman,0,5,0,63.45,60.48
4243,2022Spring,CS222,Elective 2,AI,4,Williams,C+,77.61,2.83,13.0,76.9,Other,18,Freshman,0,3,0,74.39,74.4
1228,2022Fall,CS238,Elective 18,Data Science,4,Smith,A-,92.4,3.4,23.7,100.0,F,20,Sophomore,0,2,0,93.99,90.37
3622,2022Spring,CS218,Parallel Computing,Systems,4,Thomas,C-,72.05,3.7,14.0,59.1,Other,22,Junior,0,5,0,69.33,67.08
2834,2021Spring,CS222,Elective 2,AI,3,Brown,D,65.94,1.62,19.2,100.0,Other,19,Freshman,0,0,0,65.86,68.71
941,2021Spring,CS220,Cryptography,Theory,4,Williams,B,86.29,3.52,17.2,95.6,M,21,Sophomore,0,1,1,93.39,89.39
5276,2020Fall,CS224,Elective 4,Networks,3,Hernandez,B-,80.9,2.92,15.0,92.4,F,21,Sophomore,0,1,0,83.52,80.27
1013,2022Spring,CS201,Algorithms,Algorithms,3,Lee,A,96.75,3.05,17.5,91.0,M,20,Sophomore,0,0,0,92.71,90.21
1917,2023Fall,CS224,Elective 4,Networks,3,Martinez,C-,72.01,3.14,3.7,74.0,M,20,Sophomore,0,1,0,77.13,83.05
790,2023Fall,CS202,Discrete Math,Theory,4,Johnson,B,85.51,3.65,20.0,85.5,M,20,Sophomore,0,3,0,86.81,88.58
394,2023Spring,CS205,Database Systems,Databases,3,Miller,B,84.84,2.85,13.4,81.3,F,19,Freshman,0,2,0,79.68,91.92
4584,2023Fall,CS213,Data Mining,Data Science,3,Garcia,A,96.64,3.62,,98.6,F,21,Sophomore,0,3,0,100.0,
763,2020Fall,CS238,Elective 18,Data Science,3,Davis,A,93.95,2.98,6.7,97.2,M,18,Freshman,0,1,0,,
5090,2023Fall,CS233,Elective 13,Theory,3,Hernandez,B,83.76,3.48,19.5,97.7,F,21,Sophomore,0,3,0,87.88,90.42
4657,2022Fall,CS219,Theory of Computation,Theory,4,Brown,B-,82.15,3.03,25.4,81.7,Other,22,Junior,0,4,0,75.33,82.02
1607,2023Spring,CS234,Elective 14,Systems,4,Garcia,D,68.83,2.19,12.3,,F,18,Freshman,0,0,0,77.34,66.13
2242,2021Spring,CS231,Elective 11,Programming,3,Garcia,C,74.61,2.43,17.0,96.8,M,20,Sophomore,0,5,0,73.98,66.92
4583,2023Spring,CS215,Computer Graphics,Programming,4,Jackson,C-,71.95,3.06,10.9,92.4,F,19,Freshman,0,0,0,74.65,
96,2020Fall,CS219,Theory of Computation,Theory,3,Martin,A,96.09,2.83,15.6,96.8,Other,18,Freshman,0,1,0,94.67,94.31
3157,2023Spring,CS228,Elective 8,Systems,3,Jones,B,83.14,2.58,14.2,,M,18,Freshman,0,3,0,82.25,89.01
1367,2023Spring,CS228,Elective 8,Systems,3,Lopez,A,96.54,3.48,15.2,100.0,M,20,Sophomore,0,3,1,96.74,100.0
5618,2022Spring,CS221,Elective 1,Algorithms,3,Johnson,B-,80.26,3.44,14.4,72.8,Other,18,Freshman,0,1,0,76.02,79.92
5489,2023Fall,CS205,Database Systems,Databases,4,Hernandez,D,66.04,2.12,18.2,72.5,Other,19,Freshman,0,1,0,61.82,65.38
3949,2023Spring,CS204,Operating Systems,Systems,4,Miller,C+,79.97,4.0,10.9,73.1,Other,24,Senior,0,2,0,87.0,90.62
1460,2020Spring,CS225,Elective 5,Theory,3,Lopez,A,100.0,3.8,17.9,77.5,Other,21,Sophomore,1,2,0,100.0,95.83
4668,2023Fall,CS238,Elective 18,Data Science,4,Jackson,C+,77.5,3.52,1.4,100.0,F,20,Sophomore,0,0,0,82.61,75.9
4615,2022Spring,CS201,Algorithms,Algorithms,3,Hernandez,A,100.0,3.04,9.3,77.9,M,18,Freshman,0,2,0,100.0,100.0
3933,2020Fall,CS215,Computer Graphics,Programming,4,Hernandez,A,95.04,3.53,9.5,,M,22,Junior,0,6,0,96.89,97.2
1405,2021Fall,CS201,Algorithms,Algorithms,3,Garcia,B-,82.3,2.09,18.7,85.3,Other,20,Sophomore,0,2,0,90.72,87.16
1051,2021Fall,CS232,Elective 12,Systems,3,Brown,C,76.64,3.36,2.5,75.6,Other,19,Freshman,1,1,0,82.23,71.87
43,2020Fall,CS230,Elective 10,Systems,3,Martinez,B,86.96,3.02,14.3,100.0,M,21,Sophomore,0,2,0,86.14,76.54
5958,2023Spring,CS230,Elective 10,Systems,4,Smith,A-,90.5,1.95,24.2,83.3,Other,25,Senior,0,2,0,98.95,92.43
5932,2023Fall,CS204,Operating Systems,Systems,3,Taylor,B-,82.29,3.17,9.0,88.1,F,20,Sophomore,0,1,0,84.22,70.65
5774,2021Fall,CS219,Theory of Computation,Theory,3,Lopez,F,56.75,2.44,3.9,100.0,Other,20,Sophomore,0,4,0,60.81,58.77
5071,2023Fall,CS226,Elective 6,Algorithms,3,Williams,B,83.16,3.66,25.0,57.2,M,20,Sophomore,1,4,1,80.95,85.96
4377,2021Fall,CS232,Elective 12,Systems,3,Brown,C,75.15,1.91,14.7,86.5,Other,18,Freshman,0,3,0,67.22,79.9
